date,action,stock,reason,price,exec_price,volume,amount,cost,capital_after,pnl
2025-10-13,买入,002807,"开仓-买入低估股(stock1), z=-1.86",6.2778171201751805e-43,6.284094937295355e-43,796455185661808023668444233804415832215152230400,500500.0,150.14999999999998,499349.85,
2025-10-17,卖出,002807,"平仓-价差回归, z=-0.16",6.824323521261859e-43,6.817499197740597e-43,796455185661808023668444233804415832215152230400,542983.2589285715,705.8782366071429,1041627.2306919643,41777.38069196428
2025-10-22,买入,002966,"开仓-买入低估股(stock2), z=1.86",1.1911036946760945e-42,1.1922947983707705e-42,437252959313177820671153016467250275163517747200,521334.428961328,156.4003286883984,520136.4014019479,
2025-10-31,卖出,002966,"平仓-价差回归, z=-0.10",1.1588738299966237e-42,1.1577149561666271e-42,437252959313177820671153016467250275163517747200,506214.2906249836,658.0785778124787,1025692.613449119,-15778.216914156894
2025-12-12,买入,002807,"开仓-买入低估股(stock1), z=-2.44",6.4459729358941585e-43,6.4524189088300516e-43,795607291288478792282903508626284711794809241600,513359.15303128393,154.00774590938516,512179.4526719257,
2025-12-15,卖出,002807,"平仓-止损, z=-2.23",6.488011889823903e-43,6.481523877934079e-43,795607291288478792282903508626284711794809241600,515674.76559447293,670.3771952728149,1027183.8410711258,1645.2353679161815
2025-12-16,买入,002807,"开仓-买入低估股(stock1), z=-2.30",6.43195995125091e-43,6.4383919112021605e-43,798499873177347280770667910337421194845539532800,514105.5124560984,154.23165373682951,512924.0969612906,
2025-12-17,卖出,002807,"平仓-止损, z=-2.02",6.417946966607662e-43,6.411529019641054e-43,798499873177347280770667910337421194845539532800,511960.5109056264,665.5486641773143,1024219.0592027397,-2810.550214649341
2025-12-18,买入,002807,"开仓-买入低估股(stock1), z=-2.26",6.572089797683392e-43,6.5786618874810746e-43,779218704196470818103161432167650503884065996800,512621.6391309712,153.78649173929136,511443.63358002924,
2025-12-19,卖出,002807,"平仓-止损, z=-2.76",6.6141287516131366e-43,6.607514622861524e-43,779218704196470818103161432167650503884065996800,514869.89823853894,669.3308677101006,1025644.2009508581,1578.9282398576245
2025-12-22,买入,002807,"开仓-买入低估股(stock1), z=-2.16",6.544063828396896e-43,6.550607892225292e-43,783644710569785896178515942867901885376469401600,513334.9225759044,154.00047677277132,512155.2778981809,
2025-12-23,卖出,002807,"平仓-止损, z=-2.43",6.544063828396896e-43,6.537519764568499e-43,783644710569785896178515942867901885376469401600,512309.27837495366,666.0020618874398,1023798.5542112471,-1691.6462628382017
2025-12-24,买入,002807,"开仓-买入低估股(stock1), z=-1.85",6.58610278232664e-43,6.5926888851089665e-43,777241555475372354247125191768385687757258752000,512411.17638272914,153.72335291481872,511233.6544756032,
2025-12-29,卖出,002807,"平仓-止损, z=-2.10",6.417946966607662e-43,6.411529019641054e-43,777241555475372354247125191768385687757258752000,498330.6788201302,647.8298824661692,1008916.5034132672,-14728.327445065104
2025-12-30,买入,002807,"开仓-买入低估股(stock1), z=-1.94",6.417946966607662e-43,6.4243649135742694e-43,786011873160234879224749887037540757349072896000,504962.70995834016,151.48881298750203,503802.3046419395,
2025-12-31,卖出,002807,"平仓-止损, z=-2.00",6.403933981964414e-43,6.39753004798245e-43,786011873160234879224749887037540757349072896000,502853.45766135724,653.7094949597645,1006002.052808337,-2762.961791942701
2026-01-05,买入,002807,"开仓-买入低估股(stock1), z=-1.86",6.389920997321166e-43,6.3963109183184865e-43,787178787679911320935656006235450961104470016000,503504.02743057266,151.05120822917178,502346.9741695352,
2026-01-20,卖出,002807,"平仓-价差回归, z=-0.28",6.3618950280346695e-43,6.355533133006635e-43,787178787679911320935656006235450961104470016000,500294.08666996716,650.3823126709573,1001990.6785268314,-3860.3230732764714
2026-02-27,买入,002966,"开仓-买入低估股(stock2), z=1.62",1.1392556514960763e-42,1.1403949071475722e-42,439756729409686136355316372595920303138065612800,501496.334602679,150.44890038080368,500343.8950237716,
2026-03-03,卖出,002966,"平仓-价差回归, z=0.04",1.14906474074635e-42,1.1479156760056036e-42,439756729409686136355316372595920303138065612800,504803.64331833314,656.2447363138331,1004491.2936057909,2651.063979340275
