date,action,stock,reason,price,exec_price,volume,amount,cost,capital_after,pnl
2025-03-07,买入,601077,"开仓-买入低估股(stock1), z=-1.62",7.763193492359487e-43,7.770956685851846e-43,644064843278862787838011218264518196495961292800,500500.0,150.14999999999998,499349.85,
2025-03-19,卖出,601077,"平仓-价差回归, z=-0.02",8.211609000943428e-43,8.203397391942484e-43,644064843278862787838011218264518196495961292800,528351.9855595669,686.8575812274369,1027014.9779783394,27165.127978339366
2025-03-28,买入,601939,"开仓-买入低估股(stock2), z=1.54",1.1939062916047441e-42,1.1951001978963487e-42,430107029839802580677805322963441419857323622400,514020.9964781588,154.20629894344762,512839.7752012372,
2025-04-07,卖出,601939,"轮动-卖出高估股, z从1.54到-1.74",1.2443530363204376e-42,1.243108683284117e-42,430107029839802580677805322963441419857323622400,534669.7835353995,695.0707185960193,1046814.4880180407,19953.7163386446
2025-04-07,买入,601077,"轮动-买入低估股, z=-1.74",8.071479154510946e-43,8.079550633665456e-43,636104456210798411543040794305912232426759782400,513943.8162255377,154.1831448676613,532716.4886476353,
2025-04-09,卖出,601077,"平仓-价差回归, z=-0.01",8.309699893446165e-43,8.30139019355272e-43,636104456210798411543040794305912232426759782400,528055.1294863507,686.4716683322558,1060085.1464656538,13424.841592480814
2025-04-11,买入,601939,"开仓-买入低估股(stock2), z=1.59",1.2317413501415142e-42,1.2329730914916556e-42,430319704028715576047431180980487554396795699200,530572.6158060597,159.1717847418179,529353.3588748523,
2025-04-15,卖出,601939,"平仓-止损, z=2.66",1.2583660209636857e-42,1.257107654942722e-42,430319704028715576047431180980487554396795699200,540958.1940071848,703.2456522093403,1069608.3072298276,9682.33254891582
2025-04-16,买入,601939,"开仓-买入低估股(stock2), z=2.42",1.2709777071426091e-42,1.2722486848497516e-42,420781694760997539809207615181541878207086592000,535338.9577685287,160.6016873305586,534108.7477739684,
2025-04-25,卖出,601939,"平仓-止损, z=2.16",1.2905958856431565e-42,1.2893052897575133e-42,420781694760997539809207615181541878207086592000,542516.0648884855,705.2708843550312,1075919.5417780988,6471.83623560169
2025-04-28,买入,601939,"开仓-买入低估股(stock2), z=1.75",1.3158192580010032e-42,1.317135077259004e-42,408840171336540242931763491664161303564596019200,538497.7306599384,161.5493191979815,537260.2617989624,
2025-04-30,卖出,601939,"平仓-止损, z=2.47",1.2695764086782843e-42,1.268306832269606e-42,408840171336540242931763491664161303564596019200,518534.7826124104,674.0952173961334,1055120.9491939766,-20637.043264924163
2025-05-06,买入,601939,"开仓-买入低估股(stock2), z=1.62",1.2681751102139594e-42,1.2694432853241732e-42,415999707254924179122349394926469621628692070400,528088.0350715852,158.42641052147556,526874.4877118699,
2025-05-08,卖出,601939,"平仓-止损, z=2.01",1.3046088702864047e-42,1.3033042614161182e-42,415999707254924179122349394926469621628692070400,542174.1912132003,704.8264485771605,1068343.852476493,13381.329693037955
2025-05-09,买入,601939,"开仓-买入低估股(stock2), z=2.50",1.294799781036131e-42,1.2960945808171669e-42,412551758242335245508304808753431433627408793600,534706.0981644846,160.41182944934536,533477.342482559,
2025-05-12,卖出,601939,"平仓-止损, z=2.38",1.2849906917858573e-42,1.2837057010940714e-42,412551758242335245508304808753431433627408793600,529595.0440520687,688.4735572676893,1062383.9129773602,-5799.527669683577
2025-05-13,买入,601939,"开仓-买入低估股(stock2), z=2.10",1.2976023779647806e-42,1.2988999803427453e-42,409364197776691861258417174299861596423533363200,531723.1484451687,159.5169445335506,530501.2475876579,
2025-05-14,卖出,601939,"平仓-止损, z=2.33",1.2962010795004558e-42,1.2949048784209554e-42,409364197776691861258417174299861596423533363200,530087.6967519191,689.1140057774949,1059899.8303337996,-2324.5656990271345
2025-05-15,买入,601939,"开仓-买入低估股(stock2), z=2.34",1.2933984825718062e-42,1.2946918810543778e-42,409734449442945267504711803276015603618624307200,530479.8650820666,159.14395952461996,529260.8212922084,
2025-05-16,卖出,601939,"平仓-止损, z=2.13",1.286391990250182e-42,1.2851055982599319e-42,409734449442945267504711803276015603618624307200,526552.03477908,684.5176452128039,1055128.3384260754,-4612.347948199484
2025-05-19,买入,601939,"开仓-买入低估股(stock2), z=2.30",1.2835893933215324e-42,1.2848729827148539e-42,411006955929937053520412263273198651322033766400,528091.7333822508,158.42752001467522,526878.17752381,
2025-05-20,卖出,601939,"平仓-止损, z=2.40",1.2835893933215324e-42,1.2823058039282108e-42,411006955929937053520412263273198651322033766400,527036.6050438246,685.1475865569721,1053229.6349810776,-1740.275924983044
2025-05-21,买入,601939,"开仓-买入低估股(stock2), z=2.18",1.2849906917858573e-42,1.286275682477643e-42,409819947223632350712532390761558732119107174400,527141.4323080293,158.14242969240877,525930.0602433559,
2025-05-22,卖出,601939,"平仓-止损, z=2.42",1.2849906917858573e-42,1.2837057010940714e-42,409819947223632350712532390761558732119107174400,526088.2026730482,683.9146634749627,1051334.3482529293,-1737.1442984560094
2025-05-23,买入,601939,"开仓-买入低估股(stock2), z=2.16",1.2723790056069339e-42,1.2736513846125407e-42,413137258481970707649718911150201961406319820800,526192.8413005911,157.85785239017733,524983.649099948,
2025-06-03,卖出,601939,"平仓-止损, z=2.04",1.2695764086782843e-42,1.268306832269606e-42,413137258481970707649718911150201961406319820800,523984.8075978177,681.1802498771631,1048287.2764478885,-2889.213952650575
2025-06-04,买入,601939,"开仓-买入低估股(stock2), z=1.90",1.2625699163566602e-42,1.2638324862730168e-42,415140287625766732010486709357425822893133004800,524667.7818621681,157.40033455865043,523462.0942511617,
2025-06-17,卖出,601939,"平仓-价差回归, z=0.20",1.263971214820985e-42,1.262707243606164e-42,415140287625766732010486709357425822893133004800,524200.648297802,681.4608427871426,1046981.2817061766,-1148.594407153209
2025-07-02,买入,601077,"开仓-买入低估股(stock1), z=-1.90",1.0173426850998172e-42,1.0183600277849169e-42,514566673079018335403627908287821757627865497600,524014.13149394136,157.2042394481824,522809.94597278704,
2025-07-30,卖出,601077,"平仓-时间止损, 持仓20天",9.5708685113385e-43,9.561297642827162e-43,514566673079018335403627908287821757627865497600,491992.5118387833,639.5902653904183,1014162.8675461799,-32661.20992054846
2025-07-31,买入,601077,"开仓-买入低估股(stock1), z=-1.55",9.50080358812226e-43,9.51030439171038e-43,533724783456248249512822157790636047568207872000,507588.51520686294,152.27655456205886,506422.07578475494,
2025-08-28,卖出,601077,"平仓-时间止损, 持仓20天",8.88423226381934e-43,8.87534803155552e-43,533724783456248249512822157790636047568207872000,473699.32062408095,615.8091168113052,979505.5872920246,-34505.00369959331
2025-09-22,买入,601939,"开仓-买入低估股(stock2), z=1.60",1.2037153808550179e-42,1.2049190962358728e-42,406867604614417425262850693191934449017474252800,490242.54643965827,147.07276393189747,489115.9680884345,
2025-09-24,卖出,601939,"平仓-止损, z=3.65",1.226136156284215e-42,1.2249100201279307e-42,406867604614417425262850693191934449017474252800,498376.205757649,647.8890674849437,986844.2847785985,7485.7702505058005
2025-09-26,买入,601939,"开仓-买入低估股(stock2), z=3.09",1.2135244701052916e-42,1.2147379945753967e-42,406602548646165621097296925568811475357872947200,493915.5645316884,148.1746693595065,492780.54557755054,
2025-09-29,卖出,601939,"平仓-止损, z=4.56",1.2051166793193427e-42,1.2039115626400233e-42,406602548646165621097296925568811475357872947200,489513.50971402135,636.3675626282278,981657.6877289437,-5038.422380295282
2025-09-30,买入,601939,"开仓-买入低估股(stock2), z=3.47",1.2065179777836675e-42,1.207724495761451e-42,406814364064518792360075786480211046215503052800,491319.67270833626,147.39590181250085,490190.6191187949,
2025-10-13,卖出,601939,"平仓-止损, z=3.35",1.2191296639625909e-42,1.2179105342986283e-42,406814364064518792360075786480211046215503052800,495463.4994981747,644.1025493476271,985010.016067622,3499.724240490822
2025-10-14,买入,601939,"开仓-买入低估股(stock2), z=4.27",1.2457543347847624e-42,1.247000089119547e-42,395346814602017432643632141720544029039394816000,492997.5130418447,147.8992539125534,491864.6037718647,
2025-10-15,卖出,601939,"平仓-止损, z=3.19",1.2541621255707113e-42,1.2529079634451406e-42,395346814602017432643632141720544029039394816000,495333.17233753717,643.9331240387983,986553.8429853631,1691.7261716536732
2025-10-16,买入,601939,"开仓-买入低估股(stock2), z=2.53",1.2877932887145069e-42,1.2890810820032212e-42,383040450525314837960791420293471166186441932800,493770.1984141742,148.13105952425224,492635.51351166464,
2025-10-17,卖出,601939,"平仓-止损, z=2.20",1.2919971841074813e-42,1.2907051869233738e-42,383040450525314837960791420293471166186441932800,494392.2962944898,642.7099851828368,986385.0998209716,-20.612104867200287
2025-11-18,买入,601077,"开仓-买入低估股(stock1), z=-1.60",9.360673741689778e-43,9.370034415431466e-43,526877192305022354350802196784755219081514188800,493685.74246039626,148.10572273811886,492551.2516378372,
2025-11-20,卖出,601077,"平仓-止损, z=-2.57",9.472777618835763e-43,9.463304841216927e-43,526877192305022354350802196784755219081514188800,498599.94846669,648.179933006697,990503.0201715205,4266.026073287053
2025-11-21,买入,601077,"开仓-买入低估股(stock1), z=-3.29",9.164491956684304e-43,9.173656448640986e-43,540402580335660378645407728466247048641485209600,495746.761595846,148.72402847875378,494607.5345471958,
2025-11-24,卖出,601077,"平仓-止损, z=-2.98",9.094427033468063e-43,9.085332606434595e-43,540402580335660378645407728466247048641485209600,490973.7183724966,638.2658338842456,984942.9870858082,-5411.309057233618
2025-11-25,买入,601077,"开仓-买入低估股(stock1), z=-2.85",9.136465987397807e-43,9.145602453385204e-43,539017486873134842545753697742142908657565696000,492963.9650364469,147.88918951093407,491831.1328598503,
2025-11-26,卖出,601077,"平仓-止损, z=-2.22",9.150478972041055e-43,9.141328493069014e-43,539017486873134842545753697742142908657565696000,492733.5911015841,640.5536684320593,983924.1702930024,-870.927603294883
2025-11-27,买入,601077,"开仓-买入低估股(stock1), z=-1.94",9.1925179259708e-43,9.20171044389677e-43,535176639423900015309723312443788873765276876800,492454.04723164765,147.73621416949427,491322.38684718526,
2025-12-12,卖出,601077,"平仓-价差回归, z=-0.28",8.856206294532844e-43,8.847350088238312e-43,535176639423900015309723312443788873765276876800,473489.5088030125,615.5363614439162,964196.3592887538,-19580.074790079085
2026-01-09,买入,601939,"开仓-买入低估股(stock2), z=1.52",1.2695764086782843e-42,1.2708459850869625e-42,379731520173940551857639808728230719132165734400,482580.27782402124,144.77408334720636,481471.30738138536,
2026-01-20,卖出,601939,"平仓-价差回归, z=-0.15",1.263971214820985e-42,1.262707243606164e-42,379731520173940551857639808728230719132165734400,479489.7411492149,623.3366634939794,960337.7118671063,-3713.873338300312
2026-01-22,买入,601939,"开仓-买入低估股(stock2), z=1.58",1.217728365498266e-42,1.2189460938637642e-42,394315242658471871310047091319771320485203148800,480649.0247894866,144.19470743684596,479544.4923701828,
2026-01-27,卖出,601939,"平仓-价差回归, z=0.27",1.2219322608912405e-42,1.2207103286303493e-42,394315242658471871310047091319771320485203148800,481344.68944957916,625.7480962844529,960263.4337234775,69.91656380807285
2026-01-29,买入,601939,"开仓-买入低估股(stock2), z=3.24",1.2289387532128646e-42,1.2301676919660774e-42,390688075875637319101129748122997497282533785600,480611.84857860045,144.18355457358012,479507.4015903035,
2026-01-30,卖出,601939,"平仓-止损, z=3.25",1.2219322608912405e-42,1.2207103286303493e-42,390688075875637319101129748122997497282533785600,476916.96949410805,619.9920603423404,955804.3790240693,-4314.871144834737
2026-02-04,买入,601939,"开仓-买入低估股(stock2), z=1.59",1.2219322608912405e-42,1.2231541931521317e-42,391103668188175356706999864035237977208651776000,478380.0917015467,143.514027510464,477280.7732950121,
2026-02-05,卖出,601939,"平仓-止损, z=2.60",1.2373465439988135e-42,1.2361091974548146e-42,391103668188175356706999864035237977208651776000,483446.8414057196,628.4808938274355,960099.1338069043,4438.2688103454575
2026-02-06,买入,601939,"开仓-买入低估股(stock2), z=2.37",1.2387478424631383e-42,1.2399865903056013e-42,387528075083397839924753704842607035153593139200,480529.61647035554,144.15888494110666,479425.35845160764,
2026-02-09,卖出,601939,"平仓-止损, z=2.21",1.241550439391788e-42,1.2403088889523962e-42,387528075083397839924753704842607035153593139200,480654.51624454994,624.850871117915,959455.0238250396,-499.95109692350627
2026-02-10,买入,601939,"开仓-买入低估股(stock2), z=2.21",1.2569647224993609e-42,1.2582216872218602e-42,381655509757366131286720215668165498140150988800,480207.2394244323,144.06217182732968,479103.72222878004,
2026-02-11,卖出,601939,"平仓-止损, z=2.38",1.2555634240350361e-42,1.2543078606110011e-42,381655509757366131286720215668165498140150988800,478713.50593416294,622.3275577144118,957194.9006052285,-2116.0610479837724
2026-02-12,买入,601939,"开仓-买入低估股(stock2), z=2.53",1.2345439470701638e-42,1.2357784910172338e-42,387671456685222195732217599290289269418387046400,479076.0477529168,143.72281432587502,477975.1300379858,
2026-02-13,卖出,601939,"平仓-止损, z=2.42",1.2191296639625909e-42,1.2179105342986283e-42,387671456685222195732217599290289269418387046400,472149.15094382653,613.7938962269745,949510.4870855854,-7540.690705317292
2026-02-24,买入,601939,"开仓-买入低估股(stock2), z=1.62",1.2163270670339412e-42,1.217543394100975e-42,390318736144301195200849608777759575545951027200,475229.9987863354,142.5689996359006,474137.91929961403,
