date,value
2025-03-07,1000000.0
2025-03-10,1000000.0
2025-03-11,1000000.0
2025-03-12,1000000.0
2025-03-13,1000000.0
2025-03-14,1000000.0
2025-03-17,999849.85
2025-03-18,999849.85
2025-03-19,999849.85
2025-03-20,1000732.7368020305
2025-03-21,1000582.4767815997
2025-03-24,1000582.4767815997
2025-03-25,1000582.4767815997
2025-03-26,996410.6244228119
2025-03-27,996261.0133675549
2025-03-28,996261.0133675549
2025-03-31,987048.1405448704
2025-04-01,986899.9352665676
2025-04-02,986899.9352665676
2025-04-03,986899.9352665676
2025-04-07,986899.9352665676
2025-04-08,986899.9352665676
2025-04-09,986899.9352665676
2025-04-10,959759.5325718097
2025-04-11,959759.5325718097
2025-04-14,959759.5325718097
2025-04-15,959759.5325718097
2025-04-16,959759.5325718097
2025-04-17,959759.5325718097
2025-04-18,959759.5325718097
2025-04-21,959759.5325718097
2025-04-22,959759.5325718097
2025-04-23,959759.5325718097
2025-04-24,959759.5325718097
2025-04-25,959759.5325718097
2025-04-28,959759.5325718097
2025-04-29,959759.5325718097
2025-04-30,959759.5325718097
2025-05-06,959759.5325718097
2025-05-07,959759.5325718097
2025-05-08,959759.5325718097
2025-05-09,959759.5325718097
2025-05-12,959759.5325718097
2025-05-13,959759.5325718097
2025-05-14,959759.5325718097
2025-05-15,959759.5325718097
2025-05-16,959759.5325718097
2025-05-19,959759.5325718097
2025-05-20,959759.5325718097
2025-05-21,959759.5325718097
2025-05-22,959615.4246779941
2025-05-23,960450.509266013
2025-05-26,960306.2976220468
2025-05-27,956265.1459548958
2025-05-28,956121.5627432307
2025-05-29,956121.5627432307
2025-05-30,956121.5627432307
2025-06-03,956121.5627432307
2025-06-04,956121.5627432307
2025-06-05,981037.1729180503
2025-06-06,981037.1729180503
2025-06-09,981037.1729180503
2025-06-10,981037.1729180503
2025-06-11,981037.1729180503
2025-06-12,981037.1729180503
2025-06-13,981037.1729180503
2025-06-16,981037.1729180503
2025-06-17,981037.1729180503
2025-06-18,981037.1729180503
2025-06-19,981037.1729180503
2025-06-20,974656.7733401946
2025-06-23,974656.7733401946
2025-06-24,974510.4286256776
2025-06-25,974510.4286256776
2025-06-26,994254.7815130795
2025-06-27,994254.7815130795
2025-06-30,994254.7815130795
2025-07-01,994254.7815130795
2025-07-02,994254.7815130795
2025-07-03,994254.7815130795
2025-07-04,994254.7815130795
2025-07-07,994254.7815130795
2025-07-08,994254.7815130795
2025-07-09,994105.4941576354
2025-07-10,992995.70693509
2025-07-11,992846.6086296937
2025-07-14,992846.6086296937
2025-07-15,992846.6086296937
2025-07-16,992846.6086296937
2025-07-17,955973.5254076447
2025-07-18,955829.9859828048
2025-07-21,955829.9859828048
2025-07-22,955829.9859828048
2025-07-23,955829.9859828048
2025-07-24,955829.9859828048
2025-07-25,955829.9859828048
2025-07-28,994311.9824343483
2025-07-29,994311.9824343483
2025-07-30,994311.9824343483
2025-07-31,994311.9824343483
2025-08-01,994311.9824343483
2025-08-04,974993.4783010322
2025-08-05,974993.4783010322
2025-08-06,974993.4783010322
2025-08-07,974847.0830302653
2025-08-08,974847.0830302653
2025-08-11,974847.0830302653
2025-08-12,974847.0830302653
2025-08-13,974847.0830302653
2025-08-14,974847.0830302653
2025-08-15,974847.0830302653
2025-08-18,974847.0830302653
2025-08-19,974847.0830302653
2025-08-20,974847.0830302653
2025-08-21,970922.9007254189
2025-08-22,970922.9007254189
2025-08-25,970922.9007254189
2025-08-26,970922.9007254189
2025-08-27,970922.9007254189
2025-08-28,970922.9007254189
2025-08-29,970922.9007254189
2025-09-01,970922.9007254189
2025-09-02,970922.9007254189
2025-09-03,970922.9007254189
2025-09-04,970922.9007254189
2025-09-05,970922.9007254189
2025-09-08,970777.116651875
2025-09-09,970777.116651875
2025-09-10,969175.7249655635
2025-09-11,969175.7249655635
2025-09-12,969175.7249655635
2025-09-15,969175.7249655635
2025-09-16,969175.7249655635
2025-09-17,969175.7249655635
2025-09-18,969030.2032304599
2025-09-19,969030.2032304599
2025-09-22,969030.2032304599
2025-09-23,969030.2032304599
2025-09-24,969030.2032304599
2025-09-25,969030.2032304599
2025-09-26,969030.2032304599
2025-09-29,969030.2032304599
2025-09-30,969030.2032304599
2025-10-09,969030.2032304599
2025-10-10,969030.2032304599
2025-10-13,969030.2032304599
2025-10-14,969030.2032304599
2025-10-15,969030.2032304599
2025-10-16,969935.8128064185
2025-10-17,969935.8128064185
2025-10-20,969935.8128064185
2025-10-21,969935.8128064185
2025-10-22,969935.8128064185
2025-10-23,969935.8128064185
2025-10-24,969935.8128064185
2025-10-27,969935.8128064185
2025-10-28,969935.8128064185
2025-10-29,969935.8128064185
2025-10-30,969935.8128064185
2025-10-31,969935.8128064185
2025-11-03,969790.1769441257
2025-11-04,969790.1769441257
2025-11-05,969790.1769441257
2025-11-06,969790.1769441257
2025-11-07,969790.1769441257
2025-11-10,970597.6427176255
2025-11-11,970451.9074815714
2025-11-12,970451.9074815714
2025-11-13,970451.9074815714
2025-11-14,970451.9074815714
2025-11-17,970451.9074815714
2025-11-18,970451.9074815714
2025-11-19,970451.9074815714
2025-11-20,970451.9074815714
2025-11-21,970451.9074815714
2025-11-24,970451.9074815714
2025-11-25,970451.9074815714
2025-11-26,970451.9074815714
2025-11-27,970451.9074815714
2025-11-28,970451.9074815714
2025-12-01,970451.9074815714
2025-12-02,970451.9074815714
2025-12-03,970451.9074815714
2025-12-04,970451.9074815714
2025-12-05,970451.9074815714
2025-12-08,970451.9074815714
2025-12-09,956983.8153733258
2025-12-10,956983.8153733258
2025-12-11,956983.8153733258
2025-12-12,956983.8153733258
2025-12-15,956983.8153733258
2025-12-16,956983.8153733258
2025-12-17,956840.1242534475
2025-12-18,956840.1242534475
2025-12-19,962720.9729716
2025-12-22,962576.4204175083
2025-12-23,962576.4204175083
2025-12-24,962576.4204175083
2025-12-25,962576.4204175083
2025-12-26,962576.4204175083
2025-12-29,958538.2811565769
2025-12-30,958538.2811565769
2025-12-31,958538.2811565769
2026-01-05,958538.2811565769
2026-01-06,958538.2811565769
2026-01-07,958394.3566336613
2026-01-08,951934.1318808108
2026-01-09,951791.198970909
2026-01-12,951791.198970909
2026-01-13,952668.9251756766
2026-01-14,952525.8819365614
2026-01-15,952525.8819365614
2026-01-16,941255.8318824008
2026-01-19,941114.5023192436
2026-01-20,941114.5023192436
2026-01-21,941114.5023192436
2026-01-22,937103.6855545472
2026-01-23,936962.9794361612
2026-01-26,936962.9794361612
2026-01-27,935417.3674723919
2026-01-28,935276.914554666
2026-01-29,933734.0839196255
2026-01-30,933593.883746925
2026-02-02,929627.8197757661
2026-02-03,929488.2361586269
2026-02-04,927954.9545140797
2026-02-05,927815.6220776595
2026-02-06,928708.7170196624
2026-02-09,928569.2714058019
2026-02-10,929450.4585331038
2026-02-11,929310.9015467551
2026-02-12,929310.9015467551
2026-02-13,929310.9015467551
2026-02-24,929310.9015467551
2026-02-25,929310.9015467551
2026-02-26,929310.9015467551
2026-02-27,929310.9015467551
2026-03-02,929310.9015467551
2026-03-03,929310.9015467551
