date,value
2025-03-07,1000000.0
2025-03-10,1000000.0
2025-03-11,1000000.0
2025-03-12,1000000.0
2025-03-13,1000000.0
2025-03-14,1000000.0
2025-03-17,1000000.0
2025-03-18,1000000.0
2025-03-19,1000000.0
2025-03-20,1000000.0
2025-03-21,1000000.0
2025-03-24,1000000.0
2025-03-25,1000000.0
2025-03-26,1000000.0
2025-03-27,1000000.0
2025-03-28,1000000.0
2025-03-31,1000000.0
2025-04-01,999849.85
2025-04-02,991684.308635704
2025-04-03,991535.4072367623
2025-04-07,991535.4072367623
2025-04-08,991535.4072367623
2025-04-09,991535.4072367623
2025-04-10,991535.4072367623
2025-04-11,991535.4072367623
2025-04-14,991535.4072367623
2025-04-15,991535.4072367623
2025-04-16,991535.4072367623
2025-04-17,991535.4072367623
2025-04-18,991535.4072367623
2025-04-21,991535.4072367623
2025-04-22,991535.4072367623
2025-04-23,991535.4072367623
2025-04-24,1008676.7966798334
2025-04-25,1008676.7966798334
2025-04-28,1008676.7966798334
2025-04-29,1008676.7966798334
2025-04-30,1008676.7966798334
2025-05-06,1008525.343858812
2025-05-07,1002016.767337653
2025-05-08,1001866.3145200373
2025-05-09,1002282.0107815075
2025-05-12,1002131.5181375886
2025-05-13,1003206.8574139475
2025-05-14,1003056.2259043067
2025-05-15,1003056.2259043067
2025-05-16,1003056.2259043067
2025-05-19,1003056.2259043067
2025-05-20,1003056.2259043067
2025-05-21,1003056.2259043067
2025-05-22,1003056.2259043067
2025-05-23,1003056.2259043067
2025-05-26,1003056.2259043067
2025-05-27,1003056.2259043067
2025-05-28,1003056.2259043067
2025-05-29,1003056.2259043067
2025-05-30,1003056.2259043067
2025-06-03,1003056.2259043067
2025-06-04,1016769.2222372144
2025-06-05,1016769.2222372144
2025-06-06,1016769.2222372144
2025-06-09,1016769.2222372144
2025-06-10,1016769.2222372144
2025-06-11,1016769.2222372144
2025-06-12,1016769.2222372144
2025-06-13,1016769.2222372144
2025-06-16,1016769.2222372144
2025-06-17,1016769.2222372144
2025-06-18,1016769.2222372144
2025-06-19,1016769.2222372144
2025-06-20,1016769.2222372144
2025-06-23,1016769.2222372144
2025-06-24,1016769.2222372144
2025-06-25,1016769.2222372144
2025-06-26,1016769.2222372144
2025-06-27,1016769.2222372144
2025-06-30,1016769.2222372144
2025-07-01,1016769.2222372144
2025-07-02,1016769.2222372144
2025-07-03,1016769.2222372144
2025-07-04,1016769.2222372144
2025-07-07,1016769.2222372144
2025-07-08,1016769.2222372144
2025-07-09,1016769.2222372144
2025-07-10,1016769.2222372144
2025-07-11,1016769.2222372144
2025-07-14,1016616.5543384955
2025-07-15,1022228.877577435
2025-07-16,1022228.877577435
2025-07-17,1022228.877577435
2025-07-18,1022228.877577435
2025-07-21,1022228.877577435
2025-07-22,1022228.877577435
2025-07-23,1022228.877577435
2025-07-24,1022228.877577435
2025-07-25,1022228.877577435
2025-07-28,1022228.877577435
2025-07-29,1022228.877577435
2025-07-30,1022228.877577435
2025-07-31,1022228.877577435
2025-08-01,1022075.3899114667
2025-08-04,1019106.5099448677
2025-08-05,1018953.4911023995
2025-08-06,1018953.4911023995
2025-08-07,1018953.4911023995
2025-08-08,1018953.4911023995
2025-08-11,1018953.4911023995
2025-08-12,1018953.4911023995
2025-08-13,1018953.4911023995
2025-08-14,1018953.4911023995
2025-08-15,1018953.4911023995
2025-08-18,1018953.4911023995
2025-08-19,1018953.4911023995
2025-08-20,1018953.4911023995
2025-08-21,1018953.4911023995
2025-08-22,1018953.4911023995
2025-08-25,1018953.4911023995
2025-08-26,1018953.4911023995
2025-08-27,1018953.4911023995
2025-08-28,1018953.4911023995
2025-08-29,1018953.4911023995
2025-09-01,1018953.4911023995
2025-09-02,985177.808026104
2025-09-03,985029.8835782289
2025-09-04,980783.8787477643
2025-09-05,980636.6140483703
2025-09-08,971794.9159705064
2025-09-09,971649.0009638735
2025-09-10,970712.9943005085
2025-09-11,970567.2417444143
2025-09-12,972301.1880590711
2025-09-15,972155.197035684
2025-09-16,966492.6778480706
2025-09-17,966347.5589724918
2025-09-18,960609.0430373368
2025-09-19,960464.8075895247
2025-09-22,960464.8075895247
2025-09-23,960464.8075895247
2025-09-24,960991.4422428715
2025-09-25,960847.1493778187
2025-09-26,954327.2286730687
2025-09-29,954183.9364396834
2025-09-30,954183.9364396834
2025-10-09,954183.9364396834
2025-10-10,938462.3162801604
2025-10-13,938321.4061633709
2025-10-14,938321.4061633709
2025-10-15,938321.4061633709
2025-10-16,938321.4061633709
2025-10-17,938321.4061633709
2025-10-20,938321.4061633709
2025-10-21,938321.4061633709
2025-10-22,938321.4061633709
2025-10-23,938321.4061633709
2025-10-24,938321.4061633709
2025-10-27,938321.4061633709
2025-10-28,938321.4061633709
2025-10-29,938321.4061633709
2025-10-30,938321.4061633709
2025-10-31,938321.4061633709
2025-11-03,938321.4061633709
2025-11-04,938321.4061633709
2025-11-05,938321.4061633709
2025-11-06,938321.4061633709
2025-11-07,938321.4061633709
2025-11-10,963892.1453940278
2025-11-11,963892.1453940278
2025-11-12,963892.1453940278
2025-11-13,963892.1453940278
2025-11-14,963747.4169883969
2025-11-17,963747.4169883969
2025-11-18,963747.4169883969
2025-11-19,963747.4169883969
2025-11-20,963747.4169883969
2025-11-21,963747.4169883969
2025-11-24,963747.4169883969
2025-11-25,963747.4169883969
2025-11-26,963747.4169883969
2025-11-27,963747.4169883969
2025-11-28,963747.4169883969
2025-12-01,963747.4169883969
2025-12-02,963747.4169883969
2025-12-03,963747.4169883969
2025-12-04,961468.7415023745
2025-12-05,961468.7415023745
2025-12-08,961468.7415023745
2025-12-09,961468.7415023745
2025-12-10,961468.7415023745
2025-12-11,961468.7415023745
2025-12-12,961468.7415023745
2025-12-15,961468.7415023745
2025-12-16,961468.7415023745
2025-12-17,961468.7415023745
2025-12-18,961468.7415023745
2025-12-19,961468.7415023745
2025-12-22,961468.7415023745
2025-12-23,961468.7415023745
2025-12-24,961468.7415023745
2025-12-25,961468.7415023745
2025-12-26,961468.7415023745
2025-12-29,961324.3769708379
2025-12-30,961324.3769708379
2025-12-31,961324.3769708379
2026-01-05,961324.3769708379
2026-01-06,961324.3769708379
2026-01-07,959124.456470475
2026-01-08,958980.4439333358
2026-01-09,953694.3066546085
2026-01-12,953694.3066546085
2026-01-13,953694.3066546085
2026-01-14,953694.3066546085
2026-01-15,953694.3066546085
2026-01-16,953694.3066546085
2026-01-19,953551.1094544643
2026-01-20,953551.1094544643
2026-01-21,953551.1094544643
2026-01-22,955522.9504908225
2026-01-23,955522.9504908225
2026-01-26,955522.9504908225
2026-01-27,955522.9504908225
2026-01-28,955522.9504908225
2026-01-29,955522.9504908225
2026-01-30,955522.9504908225
2026-02-02,955522.9504908225
2026-02-03,955522.9504908225
2026-02-04,942948.097984889
2026-02-05,942806.5143279766
2026-02-06,945149.5248018694
2026-02-09,945007.6106007204
2026-02-10,944747.5944986404
2026-02-11,944605.7406473265
2026-02-12,942401.9212686393
2026-02-13,942260.4196201607
2026-02-24,936122.747734293
2026-02-25,935982.1889037207
2026-02-26,933776.7423834746
2026-02-27,933636.5358056057
2026-03-02,929419.3126591598
2026-03-03,929279.760349364
