日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,code
2022-01-04,002329,4.51,4.53,4.73,4.44,228453,103834568.0,6.59,2.95,0.13,4.29,002329
2022-01-05,002329,4.5,4.61,4.67,4.49,241216,110864645.0,3.97,1.77,0.08,4.52,002329
2022-01-06,002329,4.58,4.7,4.73,4.58,214987,100103562.0,3.25,1.95,0.09,4.03,002329
2022-01-07,002329,4.89,4.57,4.97,4.52,278426,130081474.0,9.57,-2.77,-0.13,5.22,002329
2022-01-10,002329,4.55,4.54,4.61,4.49,123327,56081711.0,2.63,-0.66,-0.03,2.31,002329
2022-01-11,002329,4.56,4.55,4.67,4.52,110458,50701419.0,3.3,0.22,0.01,2.07,002329
2022-01-12,002329,4.58,4.64,4.68,4.52,107165,49290036.0,3.52,1.98,0.09,2.01,002329
2022-01-13,002329,4.67,4.62,4.74,4.56,126138,58656770.0,3.88,-0.43,-0.02,2.37,002329
2022-01-14,002329,4.61,4.51,4.66,4.5,102466,47008786.0,3.46,-2.38,-0.11,1.92,002329
2022-01-17,002329,4.51,4.61,4.65,4.47,107657,49308927.0,3.99,2.22,0.1,2.02,002329
2022-01-18,002329,4.62,4.74,5.07,4.62,390968,188827084.0,9.76,2.82,0.13,7.33,002329
2022-01-19,002329,4.7,4.71,4.8,4.62,242485,114051210.0,3.8,-0.63,-0.03,4.55,002329
2022-01-20,002329,4.74,4.85,5.1,4.66,376236,182935757.0,9.34,2.97,0.14,7.06,002329
2022-01-21,002329,4.77,5.34,5.34,4.73,548080,280225184.0,12.58,10.1,0.49,10.28,002329
2022-01-24,002329,5.56,5.87,5.87,5.35,529334,300330912.0,9.74,9.93,0.53,9.93,002329
2022-01-25,002329,5.6,5.28,5.73,5.28,333257,181252356.0,7.67,-10.05,-0.59,6.25,002329
2022-01-26,002329,4.89,5.01,5.15,4.76,661138,326359520.0,7.39,-5.11,-0.27,12.4,002329
2022-01-27,002329,4.92,4.52,4.94,4.51,440403,206441152.0,8.58,-9.78,-0.49,8.26,002329
2022-01-28,002329,4.52,4.62,4.76,4.48,349290,161712057.0,6.19,2.21,0.1,6.55,002329
2022-02-07,002329,4.29,4.45,4.56,4.16,389196,168990529.0,8.66,-3.68,-0.17,7.3,002329
2022-02-08,002329,4.42,4.61,4.74,4.41,283416,130080716.0,7.42,3.6,0.16,5.32,002329
2022-02-09,002329,4.69,4.74,4.79,4.59,240664,113085869.0,4.34,2.82,0.13,4.51,002329
2022-02-10,002329,4.76,4.74,4.78,4.66,163992,77287157.0,2.53,0.0,0.0,3.08,002329
2022-02-11,002329,4.7,4.73,4.85,4.6,231423,109416848.0,5.27,-0.21,-0.01,4.34,002329
2022-02-14,002329,4.77,4.99,5.06,4.71,352152,173469682.0,7.4,5.5,0.26,6.61,002329
2022-02-15,002329,5.0,4.86,5.01,4.81,251776,123141260.0,4.01,-2.61,-0.13,4.72,002329
2022-02-16,002329,4.88,4.89,4.94,4.76,181400,88006527.0,3.7,0.62,0.03,3.4,002329
2022-02-17,002329,4.91,4.86,5.08,4.8,190425,93125118.0,5.73,-0.61,-0.03,3.57,002329
2022-02-18,002329,4.8,5.03,5.11,4.77,327623,164338073.0,7.0,3.5,0.17,6.15,002329
2022-02-21,002329,5.03,5.12,5.15,4.98,212540,108252469.0,3.38,1.79,0.09,3.99,002329
2022-02-22,002329,5.12,5.03,5.31,5.0,239217,121652874.0,6.05,-1.76,-0.09,4.49,002329
2022-02-23,002329,5.08,5.06,5.1,4.96,152528,76783176.0,2.78,0.6,0.03,2.86,002329
