date,zscore,position_1,position_2,action
2022-12-30,1.3866804958321395,0,0,"Buy 300745, Sell 301488"
2023-01-03,0.7957418099631417,31887.755102040817,0.0,No action
2023-01-04,-0.4609835126433735,31887.755102040817,0.0,No action
2023-01-05,0.0831982733034293,31887.755102040817,0.0,No action
2023-01-06,0.4730813769486341,31887.755102040817,0.0,No action
2023-01-09,0.8411685929199153,31887.755102040817,0.0,No action
2023-01-10,0.02601095291557886,31887.755102040817,0.0,No action
2023-01-11,0.05618717539668773,31887.755102040817,0.0,No action
2023-01-12,0.013170462444918637,31887.755102040817,0.0,No action
2023-01-13,-0.0756681036864252,31887.755102040817,0.0,No action
2023-01-16,0.3037845794931201,31887.755102040817,0.0,No action
2023-01-17,-0.05779239515620042,31887.755102040817,0.0,No action
2023-01-18,0.17779202618740242,31887.755102040817,0.0,No action
2023-01-19,0.3129924220181284,31887.755102040817,0.0,No action
2023-01-20,0.7390944660950985,31887.755102040817,0.0,No action
2023-01-30,0.5021074746375793,31887.755102040817,0.0,No action
2023-01-31,0.7607828147442327,31887.755102040817,0.0,No action
2023-02-01,0.9254768316352158,31887.755102040817,0.0,No action
2023-02-02,1.5186455953359568,31887.755102040817,0.0,No action
2023-02-03,0.4053210111940759,31887.755102040817,0.0,No action
2023-02-06,0.7225862418024962,31887.755102040817,0.0,No action
2023-02-07,0.9926270491174176,31887.755102040817,0.0,No action
2023-02-08,0.768588087155344,31887.755102040817,0.0,No action
2023-02-09,0.4225492041797351,31887.755102040817,0.0,No action
2023-02-10,-0.07991089990444135,31887.755102040817,0.0,No action
2023-02-13,-1.0358792161951462,31887.755102040817,0.0,"Buy 301488, Sell 300745"
2023-02-14,0.46668095604736615,0.0,73925.1973966348,No action
2023-02-15,0.5000223031028149,0.0,73925.1973966348,"Buy 300745, Sell 301488"
2023-02-16,-0.03883673358638438,33474.42308006444,0.0,No action
2023-02-17,0.4518979189430016,33474.42308006444,0.0,No action
2023-02-20,0.8387958901871199,33474.42308006444,0.0,No action
2023-02-21,0.2978516819631563,33474.42308006444,0.0,No action
2023-02-22,-0.3713876105467597,33474.42308006444,0.0,No action
2023-02-23,0.0015548313108286757,33474.42308006444,0.0,No action
2023-02-24,0.09244348310065448,33474.42308006444,0.0,No action
2023-02-27,-0.3241631872532607,33474.42308006444,0.0,No action
2023-02-28,-0.7277493749632467,33474.42308006444,0.0,"Buy 301488, Sell 300745"
2023-03-01,-1.3300535280405081,0.0,76859.57830054108,No action
2023-03-02,-3.305867714504983,0.0,76859.57830054108,No action
2023-03-03,-2.387053385388648,0.0,76859.57830054108,No action
2023-03-06,-1.7235692796313649,0.0,76859.57830054108,No action
2023-03-07,-1.462916307014713,0.0,76859.57830054108,No action
2023-03-08,-1.8761778606210076,0.0,76859.57830054108,No action
2023-03-09,-1.652318890832203,0.0,76859.57830054108,No action
2023-03-10,-1.7636733133305311,0.0,76859.57830054108,No action
2023-03-13,-1.5375842657099794,0.0,76859.57830054108,No action
2023-03-14,-1.5298514464473674,0.0,76859.57830054108,No action
2023-03-15,-1.3984636907355588,0.0,76859.57830054108,No action
2023-03-16,-1.7150463199231236,0.0,76859.57830054108,No action
2023-03-17,-1.5684804568841335,0.0,76859.57830054108,No action
2023-03-20,-0.500510202550535,0.0,76859.57830054108,No action
2023-03-21,-0.8571594981650648,0.0,76859.57830054108,No action
2023-03-22,-0.5313339405762015,0.0,76859.57830054108,No action
2023-03-23,-0.32312060148588245,0.0,76859.57830054108,No action
2023-03-24,-0.6024767903505938,0.0,76859.57830054108,No action
