排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,粮食种植,BK1515,1190.32,82.17,7.42,45977600000,4.99,2,0,北大荒,8.12
2,其他养殖,BK1510,1052.23,69.62,7.09,11553025000,1.73,3,0,*ST天山,16.58
3,铝,BK1613,2974.55,154.91,5.49,1146839328000,3.89,29,1,常铝股份,10.02
4,体育Ⅲ,BK1564,1246.58,55.29,4.64,13106676000,7.07,2,0,力盛体育,8.08
5,体育Ⅱ,BK1273,1246.58,55.29,4.64,13106676000,7.07,2,0,力盛体育,8.08
6,通信线缆及配套,BK1592,21353.98,901.18,4.41,593433488000,6.78,12,0,亨通光电,10.01
7,林业Ⅲ,BK1502,5407.44,215.81,4.16,30169061000,17.14,4,0,平潭发展,10.04
8,林业Ⅱ,BK1255,5407.44,215.81,4.16,30169061000,17.14,4,0,平潭发展,10.04
9,房产租赁经纪,BK1341,1648.24,63.31,3.99,22211209000,2.76,2,0,宁波富达,9.98
10,黄金,BK1617,7120.1,267.36,3.9,628492272000,2.36,10,0,赤峰黄金,7.29
11,涂料,BK1469,1272.21,43.42,3.53,41033731000,0.79,2,0,三棵树,6.39
12,氨纶,BK1412,2631.19,89.7,3.53,52404463000,1.1,1,0,华峰化学,3.53
13,种子,BK1518,4726.92,159.37,3.49,66690052000,6.93,10,0,秋乐种业,6.81
14,种植业,BK1261,2881.78,94.19,3.38,177587696000,4.94,20,1,新农开发,10.07
15,工业金属,BK1287,3421.89,107.46,3.24,3217405200000,2.47,52,7,常铝股份,10.02
16,贵金属,BK0732,2760.53,83.61,3.12,759935600000,2.53,12,1,赤峰黄金,7.29
17,玻纤制造,BK1462,11017.75,324.39,3.03,331080448000,3.5,6,2,宏和科技,10.0
18,文字媒体,BK1298,2878.88,77.93,2.78,30512376000,7.31,2,0,中文在线,3.24
19,医美服务,BK1499,646.18,16.96,2.7,6131099000,2.02,1,0,*ST美谷,2.69
